File: ul3   18.02.20  02:59:11
Comment: ul3
                    P1Y374-L                                P1Y373-R                                
Time[secs]          Force[N]            Time[secs]          Force[N]            
       0.000        1043.040                   0.000           0.000            
       0.005        1034.560                   0.005           0.000            
       0.010        1038.800                   0.010           2.450            
       0.015        1047.280                   0.015           0.000            
       0.020        1043.040                   0.020           0.000            
       0.025        1047.280                   0.025           0.000            
       0.030        1047.280                   0.030          17.500            
       0.035        1051.520                   0.035           0.000            
       0.040        1047.280                   0.040           0.000            
       0.045        1060.000                   0.045           0.000            
       0.050        1047.280                   0.050           0.000            
       0.055        1055.760                   0.055           0.000            
       0.060        1051.520                   0.060           0.000            
       0.065        1051.520                   0.065           0.000            
       0.070        1051.520                   0.070           2.450            
       0.075        1061.440                   0.075           2.500            
       0.080        1057.160                   0.080           0.000            
       0.085        1057.160                   0.085           0.000            
       0.090        1057.160                   0.090           0.000            
       0.095        1057.160                   0.095           0.000            
       0.100        1052.880                   0.100           0.000            
       0.105        1057.160                   0.105           0.000            
       0.110        1061.440                   0.110           0.000            
       0.115        1061.440                   0.115           0.000            
       0.120        1057.160                   0.120           0.000            
       0.125        1061.440                   0.125           0.000            
       0.130        1070.000                   0.130           2.500            
       0.135        1061.440                   0.135           0.000            
       0.140        1065.720                   0.140           0.000            
       0.145        1065.720                   0.145           0.000            
       0.150        1063.920                   0.150           7.500            
       0.155        1072.500                   0.155           0.000            
       0.160        1063.920                   0.160           2.490            
       0.165        1059.630                   0.165           2.490            
       0.170        1059.630                   0.170           2.490            
       0.175        1055.340                   0.175           2.490            
       0.180        1051.050                   0.180           0.000            
       0.185        1055.340                   0.185           2.490            
       0.190        1051.050                   0.190           2.490            
       0.195        1046.760                   0.195           0.000            
       0.200        1046.760                   0.200           0.000            
       0.205        1059.630                   0.205           2.490            
       0.210        1051.050                   0.210           0.000            
       0.215        1046.760                   0.215           7.500            
       0.220        1046.760                   0.220           0.000            
       0.225        1057.500                   0.225           7.500            
       0.230        1044.810                   0.230           0.000            
       0.235        1049.040                   0.235           4.980            
       0.240        1044.810                   0.240           0.000            
       0.245        1044.810                   0.245           2.490            
       0.250        1049.040                   0.250           0.000            
       0.255        1044.810                   0.255           7.500            
       0.260        1053.270                   0.260           0.000            
       0.265        1044.810                   0.265           0.000            
       0.270        1049.040                   0.270           0.000            
       0.275        1044.810                   0.275           0.000            
       0.280        1049.040                   0.280           0.000            
       0.285        1044.810                   0.285           0.000            
       0.290        1049.040                   0.290           0.000            
       0.295        1049.040                   0.295           2.490            
       0.300        1055.760                   0.300           7.500            
       0.305        1047.280                   0.305           0.000            
       0.310        1047.280                   0.310           0.000            
       0.315        1047.280                   0.315           2.490            
       0.320        1047.280                   0.320           0.000            
       0.325        1043.040                   0.325           0.000            
       0.330        1051.520                   0.330           0.000            
       0.335        1047.280                   0.335           0.000            
       0.340        1051.520                   0.340           2.490            
       0.345        1047.280                   0.345           0.000            
       0.350        1047.280                   0.350           0.000            
       0.355        1060.000                   0.355           0.000            
       0.360        1051.520                   0.360           4.980            
       0.365        1051.520                   0.365           0.000            
       0.370        1047.280                   0.370           2.490            
       0.375        1060.000                   0.375           7.500            
       0.380        1047.280                   0.380           0.000            
       0.385        1060.000                   0.385           0.000            
       0.390        1047.280                   0.390           2.490            
       0.395        1051.520                   0.395           4.980            
       0.400        1047.280                   0.400           0.000            
       0.405        1047.280                   0.405           0.000            
       0.410        1047.280                   0.410           0.000            
       0.415        1060.000                   0.415           0.000            
       0.420        1043.040                   0.420           4.980            
       0.425        1043.040                   0.425           0.000            
       0.430        1047.280                   0.430           0.000            
       0.435        1043.040                   0.435           0.000            
       0.440        1038.800                   0.440           2.490            
       0.445        1038.800                   0.445           4.980            
       0.450        1052.500                   0.450          10.000            
       0.455        1039.870                   0.455           5.000            
       0.460        1035.660                   0.460           0.000            
       0.465        1039.870                   0.465           0.000            
       0.470        1039.870                   0.470           2.480            
       0.475        1031.450                   0.475           0.000            
       0.480        1035.660                   0.480           0.000            
       0.485        1035.660                   0.485           2.480            
       0.490        1035.660                   0.490           0.000            
       0.495        1027.240                   0.495           2.480            
       0.500        1027.240                   0.500           0.000            
       0.505        1031.450                   0.505           2.480            
       0.510        1031.450                   0.510           0.000            
       0.515        1031.450                   0.515           0.000            
       0.520        1031.450                   0.520           2.480            
       0.525        1033.350                   0.525           7.500            
       0.530        1025.050                   0.530           0.000            
       0.535        1025.050                   0.535           0.000            
       0.540        1016.750                   0.540           0.000            
       0.545        1020.900                   0.545           2.490            
       0.550        1020.900                   0.550           0.000            
       0.555        1020.900                   0.555           4.980            
       0.560        1025.050                   0.560           2.490            
       0.565        1025.050                   0.565           4.980            
       0.570        1029.200                   0.570           0.000            
