File: ul2   18.02.20  02:58:50
Comment: ul2
                    P1Y374-L                                P1Y373-R                                
Time[secs]          Force[N]            Time[secs]          Force[N]            
       0.000         543.120                   0.000         560.690            
       0.005         538.740                   0.005         558.420            
       0.010         536.550                   0.010         556.150            
       0.015         540.930                   0.015         556.150            
       0.020         540.930                   0.020         560.690            
       0.025         536.550                   0.025         560.690            
       0.030         547.500                   0.030         553.880            
       0.035         536.550                   0.035         558.420            
       0.040         536.550                   0.040         558.420            
       0.045         534.360                   0.045         560.690            
       0.050         536.550                   0.050         560.690            
       0.055         534.360                   0.055         556.150            
       0.060         538.740                   0.060         567.500            
       0.065         538.740                   0.065         558.420            
       0.070         532.170                   0.070         560.690            
       0.075         540.000                   0.075         561.600            
       0.080         529.200                   0.080         561.600            
       0.085         529.200                   0.085         566.280            
       0.090         518.400                   0.090         566.280            
       0.095         524.880                   0.095         570.960            
       0.100         518.400                   0.100         566.280            
       0.105         516.240                   0.105         568.620            
       0.110         516.240                   0.110         568.620            
       0.115         514.080                   0.115         566.280            
       0.120         511.920                   0.120         568.620            
       0.125         505.440                   0.125         573.300            
       0.130         503.280                   0.130         573.300            
       0.135         503.280                   0.135         575.640            
       0.140         501.120                   0.140         577.980            
       0.145         501.120                   0.145         585.000            
       0.150         505.000                   0.150         587.860            
       0.155         498.940                   0.155         585.390            
       0.160         490.860                   0.160         592.800            
       0.165         488.840                   0.165         590.330            
       0.170         480.760                   0.170         595.270            
       0.175         484.800                   0.175         597.740            
       0.180         480.760                   0.180         597.740            
       0.185         486.820                   0.185         617.500            
       0.190         474.700                   0.190         602.680            
       0.195         474.700                   0.195         607.620            
       0.200         474.700                   0.200         607.620            
       0.205         470.660                   0.205         612.560            
       0.210         470.660                   0.210         612.560            
       0.215         468.640                   0.215         617.500            
       0.220         464.600                   0.220         610.090            
       0.225         472.500                   0.225         619.970            
       0.230         464.940                   0.230         617.460            
       0.235         461.160                   0.235         614.950            
       0.240         464.940                   0.240         617.460            
       0.245         459.270                   0.245         619.970            
       0.250         459.270                   0.250         619.970            
       0.255         459.270                   0.255         619.970            
       0.260         461.160                   0.260         619.970            
       0.265         457.380                   0.265         624.990            
       0.270         459.270                   0.270         627.500            
       0.275         459.270                   0.275         624.990            
       0.280         459.270                   0.280         624.990            
       0.285         459.270                   0.285         627.500            
       0.290         461.160                   0.290         627.500            
       0.295         468.720                   0.295         622.480            
       0.300         473.280                   0.300         632.460            
       0.305         463.080                   0.305         632.460            
       0.310         471.240                   0.310         629.920            
       0.315         473.280                   0.315         624.840            
       0.320         473.280                   0.320         632.460            
       0.325         481.440                   0.325         622.300            
       0.330         477.360                   0.330         622.300            
       0.335         485.520                   0.335         627.380            
       0.340         495.720                   0.340         627.380            
       0.345         485.520                   0.345         632.460            
       0.350         493.680                   0.350         629.920            
       0.355         495.720                   0.355         635.000            
       0.360         501.840                   0.360         624.840            
       0.365         503.880                   0.365         624.840            
       0.370         510.000                   0.370         622.300            
       0.375         519.480                   0.375         627.500            
       0.380         510.600                   0.380         619.970            
       0.385         510.600                   0.385         609.930            
       0.390         523.920                   0.390         614.950            
       0.395         517.260                   0.395         614.950            
       0.400         523.920                   0.400         607.420            
       0.405         526.140                   0.405         604.910            
       0.410         530.580                   0.410         607.420            
       0.415         537.240                   0.415         599.890            
       0.420         537.240                   0.420         594.870            
       0.425         532.800                   0.425         592.360            
       0.430         539.460                   0.430         584.830            
       0.435         543.900                   0.435         582.320            
       0.440         543.900                   0.440         582.320            
       0.445         555.000                   0.445         577.300            
       0.450         559.020                   0.450         575.000            
       0.455         554.400                   0.455         565.800            
       0.460         552.090                   0.460         561.200            
       0.465         556.710                   0.465         563.500            
       0.470         554.400                   0.470         554.300            
       0.475         554.400                   0.475         554.300            
       0.480         556.710                   0.480         542.800            
       0.485         556.710                   0.485         542.800            
       0.490         559.020                   0.490         533.600            
       0.495         561.330                   0.495         533.600            
       0.500         561.330                   0.500         529.000            
       0.505         563.640                   0.505         531.300            
       0.510         565.950                   0.510         526.700            
       0.515         570.570                   0.515         517.500            
       0.520         577.500                   0.520         517.500            
       0.525         583.390                   0.525         515.000            
       0.530         580.820                   0.530         506.760            
       0.535         583.390                   0.535         504.700            
       0.540         593.670                   0.540         488.220            
       0.545         593.670                   0.545         494.400            
       0.550         596.240                   0.550         492.340            
       0.555         601.380                   0.555         482.040            
       0.560         603.950                   0.560         475.860            
       0.565         609.090                   0.565         471.740            
       0.570         616.800                   0.570         471.740            
       0.575         619.370                   0.575         459.380            
       0.580         624.510                   0.580         461.440            
       0.585         627.080                   0.585         453.200            
       0.590         632.220                   0.590         444.960            
       0.595         642.500                   0.595         440.840            
       0.600         647.460                   0.600         450.000            
       0.605         653.400                   0.605         426.600            
       0.610         662.310                   0.610         421.200            
       0.615         668.250                   0.615         412.200            
       0.620         674.190                   0.620         408.600            
       0.625         677.160                   0.625         399.600            
       0.630         694.980                   0.630         387.000            
       0.635         692.010                   0.635         387.000            
       0.640         700.920                   0.640         376.200            
       0.645         706.860                   0.645         367.200            
       0.650         709.830                   0.650         354.600            
       0.655         715.770                   0.655         351.000            
       0.660         727.650                   0.660         336.600            
       0.665         730.620                   0.665         329.400            
       0.670         742.500                   0.670         316.800            
       0.675         749.340                   0.675         310.000            
       0.680         756.580                   0.680         293.880            
       0.685         767.440                   0.685         281.480            
       0.690         774.680                   0.690         276.520            
       0.695         789.160                   0.695         261.640            
       0.700         800.020                   0.700         256.680            
       0.705         810.880                   0.705         246.760            
       0.710         825.360                   0.710         234.360            
       0.715         836.220                   0.715         229.400            
       0.720         843.460                   0.720         219.480            
       0.725         861.560                   0.725         214.520            
       0.730         868.800                   0.730         209.560            
       0.735         883.280                   0.735         202.120            
       0.740         894.140                   0.740         202.120            
       0.745         905.000                   0.745         194.680            
       0.750         921.600                   0.750         192.500            
       0.755         921.600                   0.755         187.110            
       0.760         921.600                   0.760         184.800            
       0.765         933.120                   0.765         179.410            
       0.770         936.960                   0.770         174.790            
       0.775         944.640                   0.775         172.480            
       0.780         944.640                   0.780         174.790            
       0.785         948.480                   0.785         164.780            
       0.790         944.640                   0.790         162.470            
       0.795         952.320                   0.795         157.080            
       0.800         944.640                   0.800         159.390            
       0.805         952.320                   0.805         157.080            
       0.810         952.320                   0.810         152.460            
       0.815         952.320                   0.815         149.380            
       0.820         960.000                   0.820         144.760            
       0.825         957.420                   0.825         155.000            
       0.830         957.420                   0.830         141.980            
       0.835         961.360                   0.835         144.460            
       0.840         957.420                   0.840         134.540            
       0.845         961.360                   0.845         137.020            
       0.850         957.420                   0.850         139.500            
       0.855         957.420                   0.855         139.500            
       0.860         961.360                   0.860         141.980            
       0.865         961.360                   0.865         139.500            
       0.870         965.300                   0.870         137.020            
       0.875         961.360                   0.875         132.060            
       0.880         973.180                   0.880         137.020            
       0.885         969.240                   0.885         134.540            
       0.890         969.240                   0.890         134.540            
       0.895         985.000                   0.895         137.020            
       0.900         985.000                   0.900         137.500            
       0.905         973.180                   0.905         132.000            
       0.910         977.120                   0.910         124.850            
       0.915         969.240                   0.915         129.800            
       0.920         969.240                   0.920         129.800            
       0.925         961.360                   0.925         127.050            
       0.930         969.240                   0.930         124.850            
       0.935         969.240                   0.935         119.900            
       0.940         969.240                   0.940         127.050            
       0.945         961.360                   0.945         124.850            
       0.950         961.360                   0.950         122.100            
       0.955         965.300                   0.955         119.900            
       0.960         969.240                   0.960         124.850            
       0.965         969.240                   0.965         114.950            
       0.970         965.300                   0.970         117.150            
       0.975         969.600                   0.975         120.000            
       0.980         965.560                   0.980         120.000            
       0.985         989.800                   0.985         114.720            
       0.990         973.640                   0.990         109.920            
       0.995         977.680                   0.995         109.920            
       1.000         981.720                   1.000         107.040            
       1.005         981.720                   1.005         107.040            
       1.010         981.720                   1.010         104.640            
       1.015         985.760                   1.015         102.240            
       1.020         989.800                   1.020          99.840            
       1.025         993.840                   1.025          94.560            
       1.030         993.840                   1.030          84.960            
       1.035         997.880                   1.035          79.680            
       1.040         993.840                   1.040          79.680            
       1.045        1010.000                   1.045          72.480            
       1.050        1014.610                   1.050          62.500            
       1.055        1014.610                   1.055          42.500            
       1.060        1023.030                   1.060          35.000            
       1.065        1023.030                   1.065          30.000            
       1.070        1027.240                   1.070          20.000            
       1.075        1031.450                   1.075          17.500            
       1.080        1039.870                   1.080           5.000            
       1.085        1039.870                   1.085           5.000            
       1.090        1039.870                   1.090           5.000            
       1.095        1039.870                   1.095           0.000            
       1.100        1044.080                   1.100           0.000            
       1.105        1044.080                   1.105           0.000            
       1.110        1044.080                   1.110           0.000            
       1.115        1048.290                   1.115           0.000            
       1.120        1052.500                   1.120           0.000            
       1.125        1062.500                   1.125           5.000            
       1.130        1054.000                   1.130           0.000            
       1.135        1049.750                   1.135           0.000            
       1.140        1058.250                   1.140           0.000            
       1.145        1054.000                   1.145           0.000            
       1.150        1049.750                   1.150           0.000            
       1.155        1054.000                   1.155           0.000            
       1.160        1054.000                   1.160           0.000            
       1.165        1049.750                   1.165           0.000            
       1.170        1054.000                   1.170           0.000            
       1.175        1054.000                   1.175           0.000            
       1.180        1049.750                   1.180           0.000            
       1.185        1049.750                   1.185           0.000            
       1.190        1054.000                   1.190           0.000            
       1.195        1045.500                   1.195           0.000            
       1.200        1057.500                   1.200           0.000            
       1.205        1040.580                   1.205           0.000            
       1.210        1044.810                   1.210           0.000            
       1.215        1044.810                   1.215           0.000            
       1.220        1044.810                   1.220           0.000            
       1.225        1044.810                   1.225           0.000            
       1.230        1049.040                   1.230           0.000            
       1.235        1049.040                   1.235           0.000            
       1.240        1044.810                   1.240           0.000            
       1.245        1044.810                   1.245           0.000            
       1.250        1040.580                   1.250           0.000            
       1.255        1044.810                   1.255           0.000            
       1.260        1049.040                   1.260           0.000            
       1.265        1044.810                   1.265           0.000            
       1.270        1040.580                   1.270           0.000            
       1.275        1050.000                   1.275           0.000            
       1.280        1041.600                   1.280           0.000            
       1.285        1041.600                   1.285           0.000            
       1.290        1041.600                   1.290           0.000            
       1.295        1041.600                   1.295           0.000            
       1.300        1037.400                   1.300           0.000            
       1.305        1041.600                   1.305           0.000            
       1.310        1029.000                   1.310           0.000            
       1.315        1033.200                   1.315           0.000            
       1.320        1029.000                   1.320           0.000            
       1.325        1024.800                   1.325           0.000            
       1.330        1029.000                   1.330           0.000            
       1.335        1024.800                   1.335           0.000            
       1.340        1029.000                   1.340           0.000            
       1.345        1024.800                   1.345           0.000            
       1.350        1030.000                   1.350           0.000            
       1.355        1025.880                   1.355           0.000            
       1.360        1021.760                   1.360           0.000            
       1.365        1017.640                   1.365           0.000            
       1.370        1009.400                   1.370           0.000            
       1.375        1009.400                   1.375           0.000            
       1.380        1009.400                   1.380           0.000            
       1.385        1001.160                   1.385           0.000            
       1.390        1005.280                   1.390           0.000            
       1.395         997.040                   1.395           0.000            
       1.400        1001.160                   1.400           0.000            
       1.405         997.040                   1.405           0.000            
       1.410         988.800                   1.410           0.000            
       1.415         984.680                   1.415           0.000            
       1.420         980.560                   1.420           0.000            
       1.425         984.900                   1.425           0.000            
       1.430         976.860                   1.430           0.000            
       1.435         976.860                   1.435           0.000            
       1.440         964.800                   1.440           0.000            
       1.445         976.860                   1.445           0.000            
       1.450         968.820                   1.450           0.000            
       1.455         964.800                   1.455           0.000            
       1.460         964.800                   1.460           0.000            
       1.465         976.860                   1.465           0.000            
       1.470         976.860                   1.470           0.000            
       1.475         984.900                   1.475           0.000            
       1.480         984.900                   1.480           0.000            
       1.485         996.960                   1.485           0.000            
       1.490         996.960                   1.490           0.000            
       1.495        1005.000                   1.495           0.000            
       1.500        1014.300                   1.500           0.000            
       1.505        1014.300                   1.505           0.000            
       1.510        1018.440                   1.510           0.000            
       1.515        1018.440                   1.515           0.000            
       1.520        1018.440                   1.520           4.980            
       1.525        1022.580                   1.525           7.500            
       1.530        1018.440                   1.530           0.000            
       1.535        1014.300                   1.535           0.000            
       1.540        1014.300                   1.540           0.000            
       1.545        1014.300                   1.545           2.490            
       1.550        1018.440                   1.550           0.000            
       1.555        1035.000                   1.555           7.500            
       1.560        1030.860                   1.560           0.000            
       1.565        1035.000                   1.565           0.000            
       1.570        1035.000                   1.570           0.000            
       1.575        1046.150                   1.575           5.000            
       1.580        1046.150                   1.580           5.000            
       1.585        1046.150                   1.585           0.000            
       1.590        1046.150                   1.590           0.000            
       1.595        1050.420                   1.595           2.500            
       1.600        1058.960                   1.600           0.000            
       1.605        1063.230                   1.605           0.000            
       1.610        1058.960                   1.610           0.000            
       1.615        1063.230                   1.615           0.000            
       1.620        1067.500                   1.620           0.000            
       1.625        1058.960                   1.625           0.000            
       1.630        1063.230                   1.630           0.000            
       1.635        1058.960                   1.635           0.000            
