File: ursf2   13.11.19  02:45:17
Comment: ursf2
                    P1V325-L                                P1V322-R                                
Time[secs]          Force[N]            Time[secs]          Force[N]            
       0.000           0.000                   0.000         520.000            
       0.005           0.000                   0.005         515.840            
       0.010           0.000                   0.010         511.680            
       0.015           0.000                   0.015         511.680            
       0.020           0.000                   0.020         511.680            
       0.025           0.000                   0.025         509.600            
       0.030           0.000                   0.030         505.440            
       0.035           0.000                   0.035         509.600            
       0.040           0.000                   0.040         503.360            
       0.045           0.000                   0.045         499.200            
       0.050           0.000                   0.050         505.440            
       0.055           0.000                   0.055         505.440            
       0.060           0.000                   0.060         505.440            
       0.065           0.000                   0.065         503.360            
       0.070           0.000                   0.070         501.280            
       0.075           0.000                   0.075         510.000            
       0.080           0.000                   0.080         503.880            
       0.085           0.000                   0.085         503.880            
       0.090           0.000                   0.090         501.840            
       0.095           0.000                   0.095         499.800            
       0.100           0.000                   0.100         501.840            
       0.105           0.000                   0.105         499.800            
       0.110           0.000                   0.110         499.800            
       0.115           0.000                   0.115         493.680            
       0.120           0.000                   0.120         495.720            
       0.125           0.000                   0.125         495.720            
       0.130           0.000                   0.130         499.800            
       0.135           0.000                   0.135         495.720            
       0.140           0.000                   0.140         493.680            
       0.145           0.000                   0.145         501.840            
       0.150           0.000                   0.150         504.700            
       0.155           0.000                   0.155         498.520            
       0.160           0.000                   0.160         494.400            
       0.165           0.000                   0.165         494.400            
       0.170           0.000                   0.170         498.520            
       0.175           0.000                   0.175         500.580            
       0.180           0.000                   0.180         498.520            
       0.185           0.000                   0.185         504.700            
       0.190           0.000                   0.190         510.880            
       0.195           0.000                   0.195         515.000            
       0.200           0.000                   0.200         510.880            
       0.205           0.000                   0.205         515.000            
       0.210           0.000                   0.210         510.880            
       0.215           0.000                   0.215         510.880            
       0.220           0.000                   0.220         510.880            
       0.225           0.000                   0.225         515.000            
       0.230           0.000                   0.230         515.000            
       0.235           0.000                   0.235         510.880            
       0.240           0.000                   0.240         510.880            
       0.245           0.000                   0.245         515.000            
       0.250           0.000                   0.250         508.820            
       0.255           0.000                   0.255         508.820            
       0.260           0.000                   0.260         508.820            
       0.265           0.000                   0.265         508.820            
       0.270           0.000                   0.270         506.760            
       0.275           0.000                   0.275         510.880            
       0.280           0.000                   0.280         504.700            
       0.285           0.000                   0.285         508.820            
       0.290           0.000                   0.290         508.820            
       0.295           0.000                   0.295         506.760            
       0.300           0.000                   0.300         512.500            
       0.305           0.000                   0.305         506.350            
       0.310           0.000                   0.310         504.300            
       0.315           0.000                   0.315         504.300            
       0.320           0.000                   0.320         506.350            
       0.325           0.000                   0.325         502.250            
       0.330           0.000                   0.330         506.350            
       0.335           0.000                   0.335         504.300            
       0.340           0.000                   0.340         504.300            
       0.345           0.000                   0.345         502.250            
       0.350           0.000                   0.350         502.250            
       0.355           0.000                   0.355         502.250            
       0.360           0.000                   0.360         504.300            
       0.365           0.000                   0.365         502.250            
       0.370           0.000                   0.370         502.250            
       0.375           0.000                   0.375         510.000            
       0.380           0.000                   0.380         501.840            
       0.385           0.000                   0.385         505.920            
       0.390           0.000                   0.390         510.000            
       0.395           0.000                   0.395         501.840            
       0.400           0.000                   0.400         503.880            
       0.405           0.000                   0.405         503.880            
       0.410           0.000                   0.410         501.840            
       0.415           0.000                   0.415         505.920            
       0.420           0.000                   0.420         501.840            
       0.425           0.000                   0.425         501.840            
       0.430           0.000                   0.430         501.840            
       0.435           0.000                   0.435         495.720            
       0.440           0.000                   0.440         499.800            
       0.445           0.000                   0.445         495.720            
       0.450           0.000                   0.450         507.500            
       0.455           0.000                   0.455         499.380            
       0.460           0.000                   0.460         499.380            
       0.465           0.000                   0.465         499.380            
       0.470           0.000                   0.470         497.350            
       0.475           0.000                   0.475         499.380            
       0.480           0.000                   0.480         497.350            
       0.485           0.000                   0.485         497.350            
       0.490           0.000                   0.490         497.350            
       0.495           0.000                   0.495         499.380            
       0.500           0.000                   0.500         497.350            
       0.505           0.000                   0.505         497.350            
       0.510           0.000                   0.510         493.290            
       0.515           0.000                   0.515         497.350            
       0.520           0.000                   0.520         497.350            
       0.525           0.000                   0.525         503.880            
       0.530           0.000                   0.530         499.800            
       0.535           0.000                   0.535         499.800            
       0.540           0.000                   0.540         501.840            
       0.545           0.000                   0.545         499.800            
       0.550           0.000                   0.550         501.840            
       0.555           0.000                   0.555         499.800            
       0.560           0.000                   0.560         499.800            
       0.565           0.000                   0.565         501.840            
       0.570           0.000                   0.570         501.840            
       0.575           0.000                   0.575         501.840            
       0.580           0.000                   0.580         501.840            
       0.585           0.000                   0.585         503.880            
       0.590           0.000                   0.590         505.920            
       0.595           0.000                   0.595         510.000            
       0.600           0.000                   0.600         522.500            
       0.605           0.000                   0.605         505.780            
       0.610           0.000                   0.610         505.780            
       0.615           0.000                   0.615         505.780            
       0.620           0.000                   0.620         512.050            
       0.625           0.000                   0.625         509.960            
       0.630           0.000                   0.630         514.140            
       0.635           0.000                   0.635         512.050            
       0.640           0.000                   0.640         509.960            
       0.645           0.000                   0.645         514.140            
       0.650           0.000                   0.650         505.780            
       0.655           0.000                   0.655         505.780            
       0.660           0.000                   0.660         509.960            
       0.665           0.000                   0.665         503.690            
       0.670           0.000                   0.670         503.690            
       0.675           0.000                   0.675         510.000            
       0.680           0.000                   0.680         503.880            
       0.685           0.000                   0.685         501.840            
       0.690           0.000                   0.690         499.800            
       0.695           0.000                   0.695         503.880            
       0.700           0.000                   0.700         501.840            
       0.705           0.000                   0.705         495.720            
       0.710           0.000                   0.710         495.720            
       0.715           0.000                   0.715         495.720            
       0.720           0.000                   0.720         493.680            
       0.725           0.000                   0.725         491.640            
       0.730           0.000                   0.730         493.680            
       0.735           0.000                   0.735         493.680            
       0.740           0.000                   0.740         491.640            
       0.745           0.000                   0.745         491.640            
       0.750           0.000                   0.750         497.500            
       0.755           0.000                   0.755         485.560            
       0.760           0.000                   0.760         489.540            
       0.765           0.000                   0.765         483.570            
       0.770           0.000                   0.770         489.540            
       0.775           0.000                   0.775         479.590            
       0.780           0.000                   0.780         481.580            
       0.785           0.000                   0.785         481.580            
       0.790           0.000                   0.790         479.590            
       0.795           0.000                   0.795         479.590            
       0.800           0.000                   0.800         483.570            
       0.805           0.000                   0.805         479.590            
       0.810           0.000                   0.810         483.570            
       0.815           0.000                   0.815         481.580            
       0.820           0.000                   0.820         481.580            
       0.825           0.000                   0.825         487.500            
       0.830           0.000                   0.830         483.600            
       0.835           0.000                   0.835         487.500            
       0.840           0.000                   0.840         479.700            
       0.845           0.000                   0.845         475.800            
       0.850           0.000                   0.850         475.800            
       0.855           0.000                   0.855         473.850            
       0.860           0.000                   0.860         475.800            
       0.865           0.000                   0.865         479.700            
       0.870           0.000                   0.870         471.900            
       0.875           0.000                   0.875         466.050            
       0.880           0.000                   0.880         464.100            
       0.885           0.000                   0.885         464.100            
       0.890           0.000                   0.890         471.900            
       0.895           0.000                   0.895         466.050            
       0.900           0.000                   0.900         476.160            
       0.905           0.000                   0.905         474.240            
       0.910           0.000                   0.910         468.480            
       0.915           0.000                   0.915         472.320            
       0.920           0.000                   0.920         472.320            
