File: ulsf2   13.11.19  02:49:08
Comment: ulsf2
                    P1V325-L                                P1V322-R                                
Time[secs]          Force[N]            Time[secs]          Force[N]            
       0.000         562.500                   0.000           0.000            
       0.005         553.500                   0.005           0.000            
       0.010         553.500                   0.010           0.000            
       0.015         555.750                   0.015           0.000            
       0.020         555.750                   0.020           0.000            
       0.025         553.500                   0.025           0.000            
       0.030         553.500                   0.030           0.000            
       0.035         553.500                   0.035           0.000            
       0.040         553.500                   0.040           0.000            
       0.045         549.000                   0.045           0.000            
       0.050         551.250                   0.050           0.000            
       0.055         551.250                   0.055           0.000            
       0.060         549.000                   0.060           0.000            
       0.065         549.000                   0.065           0.000            
       0.070         551.250                   0.070           0.000            
       0.075         552.500                   0.075           0.000            
       0.080         543.660                   0.080           0.000            
       0.085         545.870                   0.085           0.000            
       0.090         548.080                   0.090           0.000            
       0.095         548.080                   0.095           0.000            
       0.100         545.870                   0.100           0.000            
       0.105         548.080                   0.105           0.000            
       0.110         543.660                   0.110           0.000            
       0.115         545.870                   0.115           0.000            
       0.120         552.500                   0.120           0.000            
       0.125         545.870                   0.125           0.000            
       0.130         545.870                   0.130           0.000            
       0.135         545.870                   0.135           0.000            
       0.140         548.080                   0.140           0.000            
       0.145         543.660                   0.145           0.000            
       0.150         552.500                   0.150           0.000            
       0.155         543.660                   0.155           0.000            
       0.160         545.870                   0.160           0.000            
       0.165         548.080                   0.165           0.000            
       0.170         545.870                   0.170           0.000            
       0.175         543.660                   0.175           0.000            
       0.180         543.660                   0.180           0.000            
       0.185         552.500                   0.185           0.000            
       0.190         541.450                   0.190           0.000            
       0.195         543.660                   0.195           0.000            
       0.200         545.870                   0.200           0.000            
       0.205         545.870                   0.205           0.000            
       0.210         543.660                   0.210           0.000            
       0.215         548.080                   0.215           0.000            
       0.220         545.870                   0.220           0.000            
       0.225         553.700                   0.225           0.000            
       0.230         549.180                   0.230           0.000            
       0.235         553.700                   0.235           0.000            
       0.240         551.440                   0.240           0.000            
       0.245         553.700                   0.245           0.000            
       0.250         553.700                   0.250           0.000            
       0.255         555.960                   0.255           0.000            
       0.260         553.700                   0.260           0.000            
       0.265         565.000                   0.265           0.000            
       0.270         558.220                   0.270           0.000            
       0.275         558.220                   0.275           0.000            
       0.280         555.960                   0.280           0.000            
       0.285         555.960                   0.285           0.000            
       0.290         558.220                   0.290           0.000            
       0.295         560.480                   0.295           0.000            
       0.300         562.500                   0.300           0.000            
       0.305         555.750                   0.305           0.000            
       0.310         555.750                   0.310           0.000            
       0.315         555.750                   0.315           0.000            
       0.320         551.250                   0.320           0.000            
       0.325         551.250                   0.325           0.000            
       0.330         551.250                   0.330           0.000            
       0.335         549.000                   0.335           0.000            
       0.340         549.000                   0.340           0.000            
       0.345         544.500                   0.345           0.000            
       0.350         542.250                   0.350           0.000            
       0.355         546.750                   0.355           0.000            
       0.360         544.500                   0.360           0.000            
       0.365         542.250                   0.365           0.000            
       0.370         549.000                   0.370           0.000            
       0.375         550.000                   0.375           0.000            
       0.380         543.400                   0.380           0.000            
       0.385         550.000                   0.385           0.000            
       0.390         545.600                   0.390           0.000            
       0.395         543.400                   0.395           0.000            
       0.400         550.000                   0.400           0.000            
       0.405         545.600                   0.405           0.000            
       0.410         550.000                   0.410           0.000            
       0.415         550.000                   0.415           0.000            
       0.420         550.000                   0.420           0.000            
       0.425         545.600                   0.425           0.000            
       0.430         545.600                   0.430           0.000            
       0.435         550.000                   0.435           0.000            
       0.440         545.600                   0.440           0.000            
       0.445         545.600                   0.445           0.000            
       0.450         552.500                   0.450           0.000            
       0.455         545.870                   0.455           0.000            
       0.460         545.870                   0.460           0.000            
       0.465         543.660                   0.465           0.000            
       0.470         545.870                   0.470           0.000            
       0.475         543.660                   0.475           0.000            
       0.480         545.870                   0.480           0.000            
       0.485         543.660                   0.485           0.000            
       0.490         543.660                   0.490           0.000            
       0.495         548.080                   0.495           0.000            
       0.500         545.870                   0.500           0.000            
       0.505         545.870                   0.505           0.000            
       0.510         543.660                   0.510           0.000            
       0.515         543.660                   0.515           0.000            
       0.520         548.080                   0.520           0.000            
       0.525         550.000                   0.525           0.000            
       0.530         545.600                   0.530           0.000            
       0.535         541.200                   0.535           0.000            
       0.540         545.600                   0.540           0.000            
       0.545         539.000                   0.545           0.000            
       0.550         541.200                   0.550           0.000            
       0.555         539.000                   0.555           0.000            
       0.560         539.000                   0.560           0.000            
       0.565         541.200                   0.565           0.000            
       0.570         541.200                   0.570           0.000            
       0.575         539.000                   0.575           0.000            
       0.580         541.200                   0.580           0.000            
       0.585         539.000                   0.585           0.000            
       0.590         534.600                   0.590           0.000            
       0.595         539.000                   0.595           0.000            
       0.600         542.500                   0.600           0.000            
       0.605         533.820                   0.605           0.000            
       0.610         531.650                   0.610           0.000            
       0.615         533.820                   0.615           0.000            
       0.620         533.820                   0.620           0.000            
       0.625         527.310                   0.625           0.000            
       0.630         531.650                   0.630           0.000            
       0.635         531.650                   0.635           0.000            
       0.640         531.650                   0.640           0.000            
       0.645         529.480                   0.645           0.000            
       0.650         531.650                   0.650           0.000            
       0.655         531.650                   0.655           0.000            
       0.660         533.820                   0.660           0.000            
       0.665         535.990                   0.665           0.000            
       0.670         533.820                   0.670           0.000            
       0.675         535.000                   0.675           0.000            
       0.680         530.720                   0.680           0.000            
       0.685         530.720                   0.685           0.000            
       0.690         530.720                   0.690           0.000            
       0.695         535.000                   0.695           0.000            
       0.700         528.580                   0.700           0.000            
       0.705         535.000                   0.705           0.000            
       0.710         535.000                   0.710           0.000            
       0.715         530.720                   0.715           0.000            
       0.720         528.580                   0.720           0.000            
       0.725         528.580                   0.725           0.000            
       0.730         528.580                   0.730           0.000            
       0.735         528.580                   0.735           0.000            
       0.740         528.580                   0.740           0.000            
       0.745         535.000                   0.745           0.000            
       0.750         535.000                   0.750           0.000            
       0.755         530.720                   0.755           0.000            
       0.760         528.580                   0.760           0.000            
       0.765         530.720                   0.765           0.000            
       0.770         530.720                   0.770           0.000            
       0.775         530.720                   0.775           0.000            
       0.780         528.580                   0.780           0.000            
       0.785         528.580                   0.785           0.000            
       0.790         530.720                   0.790           0.000            
       0.795         530.720                   0.795           0.000            
       0.800         526.440                   0.800           0.000            
       0.805         528.580                   0.805           0.000            
       0.810         524.300                   0.810           0.000            
       0.815         524.300                   0.815           0.000            
       0.820         524.300                   0.820           0.000            
       0.825         527.500                   0.825           0.000            
       0.830         516.950                   0.830           0.000            
       0.835         519.060                   0.835           0.000            
       0.840         516.950                   0.840           0.000            
       0.845         514.840                   0.845           0.000            
       0.850         514.840                   0.850           0.000            
       0.855         514.840                   0.855           0.000            
       0.860         510.620                   0.860           0.000            
       0.865         508.510                   0.865           0.000            
       0.870         506.400                   0.870           0.000            
       0.875         506.400                   0.875           0.000            
       0.880         502.180                   0.880           0.000            
       0.885         497.960                   0.885           0.000            
       0.890         493.740                   0.890           0.000            
       0.895         497.960                   0.895           0.000            
       0.900         501.720                   0.900           0.000            
       0.905         499.500                   0.905           0.000            
       0.910         501.720                   0.910           0.000            
       0.915         501.720                   0.915           0.000            
       0.920         508.380                   0.920           0.000            
       0.925         508.380                   0.925           0.000            
       0.930         508.380                   0.930           0.000            
       0.935         512.820                   0.935           0.000            
       0.940         517.260                   0.940           0.000            
       0.945         523.920                   0.945           0.000            
       0.950         528.360                   0.950           0.000            
       0.955         537.240                   0.955           0.000            
       0.960         539.460                   0.960           0.000            
       0.965         546.120                   0.965           0.000            
       0.970         555.000                   0.970           0.000            
       0.975         567.000                   0.975           0.000            
       0.980         567.000                   0.980           0.000            
       0.985         582.750                   0.985           0.000            
       0.990         592.200                   0.990           0.000            
       0.995         607.950                   0.995           0.000            
       1.000         620.550                   1.000           0.000            
       1.005         636.300                   1.005           0.000            
       1.010         652.050                   1.010           0.000            
       1.015         664.650                   1.015           0.000            
       1.020         683.550                   1.020           0.000            
       1.025         702.450                   1.025           0.000            
       1.030         724.500                   1.030           0.000            
       1.035         746.550                   1.035           0.000            
       1.040         762.300                   1.040           0.000            
       1.045         787.500                   1.045           0.000            
       1.050         809.490                   1.050           0.000            
       1.055         824.010                   1.055           0.000            
       1.060         838.530                   1.060           0.000            
       1.065         856.680                   1.065           0.000            
       1.070         871.200                   1.070           0.000            
       1.075         889.350                   1.075           0.000            
       1.080         892.980                   1.080           0.000            
       1.085         896.610                   1.085           0.000            
       1.090         903.870                   1.090           0.000            
       1.095         903.870                   1.095           0.000            
       1.100         907.500                   1.100           0.000            
       1.105         900.240                   1.105           0.000            
       1.110         896.610                   1.110           0.000            
       1.115         889.350                   1.115           0.000            
       1.120         878.460                   1.120           0.000            
       1.125         877.500                   1.125           0.000            
       1.130         859.950                   1.130           0.000            
       1.135         849.420                   1.135           0.000            
       1.140         835.380                   1.140           0.000            
       1.145         824.850                   1.145           0.000            
       1.150         807.300                   1.150           0.000            
       1.155         793.260                   1.155           0.000            
       1.160         775.710                   1.160           0.000            
       1.165         754.650                   1.165           0.000            
       1.170         737.100                   1.170           0.000            
       1.175         709.020                   1.175           0.000            
       1.180         684.450                   1.180           0.000            
       1.185         652.860                   1.185           0.000            
       1.190         617.760                   1.190           0.000            
       1.195         582.660                   1.195           0.000            
       1.200         542.500                   1.200           0.000            
       1.205         490.420                   1.205           0.000            
       1.210         449.190                   1.210           0.000            
       1.215         394.940                   1.215           0.000            
       1.220         338.520                   1.220           0.000            
       1.225         284.270                   1.225           0.000            
       1.230         225.680                   1.230           0.000            
       1.235         173.600                   1.235           0.000            
       1.240         125.860                   1.240           0.000            
       1.245          99.820                   1.245           0.000            
       1.250          75.950                   1.250           0.000            
       1.255          67.270                   1.255           0.000            
       1.260          36.890                   1.260           0.000            
       1.265          28.210                   1.265           0.000            
       1.270          30.380                   1.270           0.000            
       1.275          35.000                   1.275           0.000            
       1.280          32.480                   1.280           0.000            
       1.285          27.440                   1.285           0.000            
       1.290          29.960                   1.290           0.000            
       1.295          29.960                   1.295           0.000            
       1.300          27.440                   1.300           0.000            
       1.305          29.960                   1.305           0.000            
       1.310          32.480                   1.310           0.000            
       1.315          32.480                   1.315           0.000            
       1.320          29.960                   1.320           0.000            
       1.325          27.440                   1.325           0.000            
       1.330          24.920                   1.330           0.000            
       1.335          27.440                   1.335           0.000            
       1.340          22.400                   1.340           0.000            
       1.345          24.920                   1.345           0.000            
       1.350          30.000                   1.350           0.000            
       1.355          24.960                   1.355           0.000            
       1.360          19.920                   1.360           0.000            
       1.365          24.960                   1.365           0.000            
       1.370          24.960                   1.370           0.000            
       1.375          24.960                   1.375           0.000            
       1.380          22.440                   1.380           0.000            
       1.385          17.400                   1.385           0.000            
       1.390          15.000                   1.390           0.000            
       1.395          15.000                   1.395           0.000            
       1.400          17.400                   1.400           0.000            
       1.405          17.400                   1.405           0.000            
       1.410          15.000                   1.410           0.000            
       1.415          12.480                   1.415           0.000            
       1.420          12.480                   1.420           0.000            
       1.425          14.950                   1.425           0.000            
       1.430          14.950                   1.430           0.000            
       1.435          11.960                   1.435           0.000            
       1.440          11.960                   1.440           0.000            
       1.445          14.950                   1.445           0.000            
       1.450          11.960                   1.450           0.000            
       1.455          14.950                   1.455           0.000            
       1.460          14.950                   1.460           0.000            
       1.465          14.950                   1.465           0.000            
       1.470          14.950                   1.470           0.000            
       1.475          14.950                   1.475           0.000            
       1.480          14.950                   1.480           0.000            
       1.485          47.840                   1.485           0.000            
       1.490         331.890                   1.490           0.000            
       1.495         747.500                   1.495           0.000            
       1.500         738.150                   1.500           0.000            
       1.505         674.880                   1.505           0.000            
       1.510         717.060                   1.510           0.000            
       1.515         822.510                   1.515           0.000            
       1.520        1054.500                   1.520           0.000            
       1.525        1525.510                   1.525           0.000            
       1.530        1757.500                   1.530           0.000            
       1.535        1750.470                   1.535           0.000            
       1.540        1630.960                   1.540           0.000            
       1.545        1518.480                   1.545           0.000            
       1.550        1398.970                   1.550           0.000            
       1.555        1279.460                   1.555           0.000            
       1.560        1174.010                   1.560           0.000            
       1.565        1124.800                   1.565           0.000            
       1.570        1096.680                   1.570           0.000            
       1.575        1087.500                   1.575           0.000            
       1.580        1065.750                   1.580           0.000            
       1.585        1061.400                   1.585           0.000            
       1.590        1061.400                   1.590           0.000            
       1.595        1048.350                   1.595           0.000            
       1.600        1048.350                   1.600           0.000            
       1.605        1044.000                   1.605           0.000            
       1.610        1044.000                   1.610           0.000            
       1.615        1044.000                   1.615           0.000            
       1.620        1044.000                   1.620           0.000            
       1.625        1044.000                   1.625           0.000            
       1.630        1039.650                   1.630           0.000            
       1.635        1022.250                   1.635           0.000            
       1.640         996.150                   1.640           0.000            
       1.645         965.700                   1.645           0.000            
       1.650         947.500                   1.650           0.000            
       1.655         913.390                   1.655           0.000            
       1.660         886.860                   1.660           0.000            
       1.665         860.330                   1.665           0.000            
       1.670         830.010                   1.670           0.000            
       1.675         803.480                   1.675           0.000            
       1.680         776.950                   1.680           0.000            
       1.685         761.790                   1.685           0.000            
       1.690         746.630                   1.690           0.000            
       1.695         723.890                   1.695           0.000            
       1.700         708.730                   1.700           0.000            
       1.705         693.570                   1.705           0.000            
       1.710         670.830                   1.710           0.000            
       1.715         659.460                   1.715           0.000            
       1.720         644.300                   1.720           0.000            
       1.725         635.000                   1.725           0.000            
       1.730         617.220                   1.730           0.000            
       1.735         614.680                   1.735           0.000            
       1.740         609.600                   1.740           0.000            
       1.745         601.980                   1.745           0.000            
       1.750         591.820                   1.750           0.000            
       1.755         584.200                   1.755           0.000            
       1.760         574.040                   1.760           0.000            
       1.765         566.420                   1.765           0.000            
       1.770         556.260                   1.770           0.000            
       1.775         546.100                   1.775           0.000            
       1.780         538.480                   1.780           0.000            
       1.785         525.780                   1.785           0.000            
       1.790         518.160                   1.790           0.000            
       1.795         510.540                   1.795           0.000            
       1.800         502.500                   1.800           0.000            
       1.805         494.460                   1.805           0.000            
       1.810         484.410                   1.810           0.000            
       1.815         476.370                   1.815           0.000            
       1.820         468.330                   1.820           0.000            
       1.825         464.310                   1.825           0.000            
       1.830         458.280                   1.830           0.000            
