File: bi2   18.02.20  02:55:14
Comment: bi2
                    P1Y374-L                                P1Y373-R                                
Time[secs]          Force[N]            Time[secs]          Force[N]            
       0.000         532.500                   0.000         511.200            
       0.005         519.720                   0.005         506.940            
       0.010         521.850                   0.010         506.940            
       0.015         521.850                   0.015         511.200            
       0.020         515.460                   0.020         511.200            
       0.025         515.460                   0.025         515.460            
       0.030         521.850                   0.030         523.980            
       0.035         511.200                   0.035         519.720            
       0.040         513.330                   0.040         523.980            
       0.045         500.550                   0.045         521.850            
       0.050         509.070                   0.050         526.110            
       0.055         511.200                   0.055         519.720            
       0.060         515.460                   0.060         532.500            
       0.065         511.200                   0.065         528.240            
       0.070         511.200                   0.070         526.110            
       0.075         518.320                   0.075         533.200            
       0.080         512.050                   0.080         533.200            
       0.085         512.050                   0.085         537.500            
       0.090         516.230                   0.090         531.050            
       0.095         512.050                   0.095         531.050            
       0.100         514.140                   0.100         533.200            
       0.105         516.230                   0.105         537.500            
       0.110         518.320                   0.110         533.200            
       0.115         518.320                   0.115         526.750            
       0.120         514.140                   0.120         531.050            
       0.125         516.230                   0.125         533.200            
       0.130         522.500                   0.130         533.200            
       0.135         522.500                   0.135         531.050            
       0.140         518.320                   0.140         531.050            
       0.145         522.500                   0.145         531.050            
       0.150         535.000                   0.150         540.000            
       0.155         528.580                   0.155         533.520            
       0.160         522.160                   0.160         529.200            
       0.165         515.740                   0.165         527.040            
       0.170         522.160                   0.170         529.200            
       0.175         522.160                   0.175         527.040            
       0.180         524.300                   0.180         524.880            
       0.185         517.880                   0.185         524.880            
       0.190         515.740                   0.190         527.040            
       0.195         515.740                   0.195         527.040            
       0.200         517.880                   0.200         516.240            
       0.205         513.600                   0.205         527.040            
       0.210         522.160                   0.210         518.400            
       0.215         517.880                   0.215         518.400            
       0.220         517.880                   0.220         520.560            
       0.225         526.440                   0.225         525.000            
       0.230         526.440                   0.230         520.800            
       0.235         524.300                   0.235         518.700            
       0.240         524.300                   0.240         518.700            
       0.245         524.300                   0.245         518.700            
       0.250         524.300                   0.250         516.600            
       0.255         522.160                   0.255         518.700            
       0.260         535.000                   0.260         525.000            
       0.265         524.300                   0.265         520.800            
       0.270         526.440                   0.270         516.600            
       0.275         526.440                   0.275         514.500            
       0.280         524.300                   0.280         518.700            
       0.285         522.160                   0.285         518.700            
       0.290         524.300                   0.290         514.500            
       0.295         526.440                   0.295         518.700            
       0.300         535.990                   0.300         515.840            
       0.305         529.480                   0.305         513.760            
       0.310         522.970                   0.310         520.000            
       0.315         529.480                   0.315         509.600            
       0.320         522.970                   0.320         509.600            
       0.325         529.480                   0.325         501.280            
       0.330         533.820                   0.330         511.680            
       0.335         531.650                   0.335         503.360            
       0.340         533.820                   0.340         505.440            
       0.345         531.650                   0.345         509.600            
       0.350         529.480                   0.350         509.600            
       0.355         542.500                   0.355         505.440            
       0.360         535.990                   0.360         503.360            
       0.365         538.160                   0.365         509.600            
       0.370         538.160                   0.370         501.280            
       0.375         545.600                   0.375         512.500            
       0.380         539.000                   0.380         504.300            
       0.385         550.000                   0.385         506.350            
       0.390         539.000                   0.390         508.400            
       0.395         545.600                   0.395         502.250            
       0.400         536.800                   0.400         496.100            
       0.405         545.600                   0.405         498.150            
       0.410         541.200                   0.410         494.050            
       0.415         545.600                   0.415         498.150            
       0.420         541.200                   0.420         498.150            
       0.425         543.400                   0.425         502.250            
       0.430         541.200                   0.430         496.100            
       0.435         550.000                   0.435         494.050            
       0.440         543.400                   0.440         494.050            
       0.445         545.600                   0.445         494.050            
       0.450         555.000                   0.450         502.500            
       0.455         541.680                   0.455         502.500            
       0.460         546.120                   0.460         496.470            
       0.465         543.900                   0.465         496.470            
       0.470         546.120                   0.470         498.480            
       0.475         546.120                   0.475         494.460            
       0.480         543.900                   0.480         496.470            
       0.485         548.340                   0.485         492.450            
       0.490         543.900                   0.490         498.480            
       0.495         550.560                   0.495         498.480            
       0.500         546.120                   0.500         496.470            
       0.505         548.340                   0.505         488.430            
       0.510         546.120                   0.510         498.480            
       0.515         546.120                   0.515         488.430            
       0.520         546.120                   0.520         488.430            
       0.525         552.500                   0.525         491.530            
       0.530         552.500                   0.530         491.530            
       0.535         548.080                   0.535         489.540            
       0.540         545.870                   0.540         485.560            
       0.545         545.870                   0.545         489.540            
       0.550         541.450                   0.550         485.560            
       0.555         545.870                   0.555         491.530            
       0.560         552.500                   0.560         485.560            
       0.565         548.080                   0.565         491.530            
       0.570         543.660                   0.570         497.500            
       0.575         548.080                   0.575         489.540            
       0.580         545.870                   0.580         485.560            
       0.585         552.500                   0.585         491.530            
       0.590         548.080                   0.590         491.530            
       0.595         548.080                   0.595         485.560            
       0.600         550.560                   0.600         497.500            
       0.605         548.340                   0.605         489.540            
       0.610         548.340                   0.610         493.520            
       0.615         550.560                   0.615         485.560            
       0.620         543.900                   0.620         491.530            
       0.625         555.000                   0.625         491.530            
       0.630         555.000                   0.630         489.540            
       0.635         548.340                   0.635         493.520            
       0.640         548.340                   0.640         491.530            
       0.645         555.000                   0.645         485.560            
       0.650         550.560                   0.650         491.530            
       0.655         546.120                   0.655         489.540            
       0.660         543.900                   0.660         489.540            
       0.665         548.340                   0.665         497.500            
       0.670         543.900                   0.670         489.540            
       0.675         550.560                   0.675         491.040            
       0.680         546.120                   0.680         489.060            
       0.685         546.120                   0.685         487.080            
       0.690         555.000                   0.690         483.120            
       0.695         541.680                   0.695         489.060            
       0.700         541.680                   0.700         489.060            
       0.705         546.120                   0.705         491.040            
       0.710         543.900                   0.710         489.060            
       0.715         541.680                   0.715         495.000            
       0.720         539.460                   0.720         491.040            
       0.725         539.460                   0.725         483.120            
       0.730         541.680                   0.730         487.080            
       0.735         537.240                   0.735         489.060            
       0.740         541.680                   0.740         489.060            
       0.745         543.900                   0.745         487.080            
       0.750         550.000                   0.750         497.500            
       0.755         541.200                   0.755         489.540            
       0.760         543.400                   0.760         491.530            
       0.765         545.600                   0.765         489.540            
       0.770         534.600                   0.770         489.540            
       0.775         541.200                   0.775         493.520            
       0.780         543.400                   0.780         489.540            
       0.785         541.200                   0.785         489.540            
       0.790         536.800                   0.790         491.530            
       0.795         543.400                   0.795         489.540            
       0.800         550.000                   0.800         493.520            
       0.805         536.800                   0.805         489.540            
       0.810         541.200                   0.810         485.560            
       0.815         539.000                   0.815         491.530            
       0.820         539.000                   0.820         489.540            
       0.825         543.120                   0.825         491.530            
       0.830         538.740                   0.830         497.500            
       0.835         540.930                   0.835         485.560            
       0.840         538.740                   0.840         491.530            
       0.845         543.120                   0.845         489.540            
       0.850         540.930                   0.850         491.530            
       0.855         547.500                   0.855         489.540            
       0.860         543.120                   0.860         489.540            
       0.865         547.500                   0.865         493.520            
       0.870         543.120                   0.870         485.560            
       0.875         543.120                   0.875         489.540            
       0.880         547.500                   0.880         491.530            
       0.885         543.120                   0.885         491.530            
       0.890         543.120                   0.890         489.540            
       0.895         543.120                   0.895         489.540            
       0.900         555.000                   0.900         489.060            
       0.905         541.680                   0.905         483.120            
       0.910         548.340                   0.910         487.080            
       0.915         546.120                   0.915         487.080            
       0.920         543.900                   0.920         481.140            
       0.925         541.680                   0.925         489.060            
       0.930         546.120                   0.930         483.120            
       0.935         546.120                   0.935         483.120            
       0.940         543.900                   0.940         483.120            
       0.945         543.900                   0.945         481.140            
       0.950         548.340                   0.950         481.140            
       0.955         555.000                   0.955         495.000            
       0.960         543.900                   0.960         487.080            
       0.965         555.000                   0.965         487.080            
       0.970         548.340                   0.970         487.080            
       0.975         553.040                   0.975         497.500            
       0.980         548.580                   0.980         489.540            
       0.985         557.500                   0.985         481.580            
       0.990         548.580                   0.990         489.540            
       0.995         546.350                   0.995         489.540            
       1.000         550.810                   1.000         483.570            
       1.005         550.810                   1.005         481.580            
       1.010         546.350                   1.010         475.610            
       1.015         557.500                   1.015         485.560            
       1.020         553.040                   1.020         483.570            
       1.025         546.350                   1.025         483.570            
       1.030         550.810                   1.030         483.570            
       1.035         546.350                   1.035         481.580            
       1.040         550.810                   1.040         485.560            
